county	date	positive
Anderson	20200305	0
Andrews	20200305	0
Angelina	20200305	0
Aransas	20200305	0
Archer	20200305	0
Armstrong	20200305	0
Atascosa	20200305	0
Austin	20200305	0
Bailey	20200305	0
Bandera	20200305	0
Bastrop	20200305	0
Baylor	20200305	0
Bee	20200305	0
Bell	20200305	0
Bexar	20200305	0
Blanco	20200305	0
Borden	20200305	0
Bosque	20200305	0
Bowie	20200305	0
Brazoria	20200305	0
Brazos	20200305	0
Brewster	20200305	0
Briscoe	20200305	0
Brooks	20200305	0
Brown	20200305	0
Burleson	20200305	0
Burnet	20200305	0
Caldwell	20200305	0
Calhoun	20200305	0
Callahan	20200305	0
Cameron	20200305	0
Camp	20200305	0
Carson	20200305	0
Cass	20200305	0
Castro	20200305	0
Chambers	20200305	0
Cherokee	20200305	0
Childress	20200305	0
Clay	20200305	0
Cochran	20200305	0
Coke	20200305	0
Coleman	20200305	0
Collin	20200305	0
Collingsworth	20200305	0
Colorado	20200305	0
Comal	20200305	0
Comanche	20200305	0
Concho	20200305	0
Cooke	20200305	0
Coryell	20200305	0
Cottle	20200305	0
Crane	20200305	0
Crockett	20200305	0
Crosby	20200305	0
Culberson	20200305	0
Dallam	20200305	0
Dallas	20200305	0
Dawson	20200305	0
Deaf Smith	20200305	0
Delta	20200305	0
Denton	20200305	0
DeWitt	20200305	0
Dickens	20200305	0
Dimmit	20200305	0
Donley	20200305	0
Duval	20200305	0
Eastland	20200305	0
Ector	20200305	0
Edwards	20200305	0
Ellis	20200305	0
El Paso	20200305	0
Erath	20200305	0
Falls	20200305	0
Fannin	20200305	0
Fayette	20200305	0
Fisher	20200305	0
Floyd	20200305	0
Foard	20200305	0
Fort Bend	20200305	0
Franklin	20200305	0
Freestone	20200305	0
Frio	20200305	0
Gaines	20200305	0
Galveston	20200305	0
Garza	20200305	0
Gillespie	20200305	0
Glasscock	20200305	0
Goliad	20200305	0
Gonzales	20200305	0
Gray	20200305	0
Grayson	20200305	0
Gregg	20200305	0
Grimes	20200305	0
Guadalupe	20200305	0
Hale	20200305	0
Hall	20200305	0
Hamilton	20200305	0
Hansford	20200305	0
Hardeman	20200305	0
Hardin	20200305	0
Harris	20200305	0
Harrison	20200305	0
Hartley	20200305	0
Haskell	20200305	0
Hays	20200305	0
Hemphill	20200305	0
Henderson	20200305	0
Hidalgo	20200305	0
Hill	20200305	0
Hockley	20200305	0
Hood	20200305	0
Hopkins	20200305	0
Houston	20200305	0
Howard	20200305	0
Hudspeth	20200305	0
Hunt	20200305	0
Hutchinson	20200305	0
Irion	20200305	0
Jack	20200305	0
Jackson	20200305	0
Jasper	20200305	0
Jeff Davis	20200305	0
Jefferson	20200305	0
Jim Hogg	20200305	0
Jim Wells	20200305	0
Johnson	20200305	0
Jones	20200305	0
Karnes	20200305	0
Kaufman	20200305	0
Kendall	20200305	0
Kenedy	20200305	0
Kent	20200305	0
Kerr	20200305	0
Kimble	20200305	0
King	20200305	0
Kinney	20200305	0
Kleberg	20200305	0
Knox	20200305	0
Lamar	20200305	0
Lamb	20200305	0
Lampasas	20200305	0
La Salle	20200305	0
Lavaca	20200305	0
Lee	20200305	0
Leon	20200305	0
Liberty	20200305	0
Limestone	20200305	0
Lipscomb	20200305	0
Live Oak	20200305	0
Llano	20200305	0
Loving	20200305	0
Lubbock	20200305	0
Lynn	20200305	0
McCulloch	20200305	0
McLennan	20200305	0
McMullen	20200305	0
Madison	20200305	0
Marion	20200305	0
Martin	20200305	0
Mason	20200305	0
Matagorda	20200305	0
Maverick	20200305	0
Medina	20200305	0
Menard	20200305	0
Midland	20200305	0
Milam	20200305	0
Mills	20200305	0
Mitchell	20200305	0
Montague	20200305	0
Montgomery	20200305	0
Moore	20200305	0
Morris	20200305	0
Motley	20200305	0
Nacogdoches	20200305	0
Navarro	20200305	0
Newton	20200305	0
Nolan	20200305	0
Nueces	20200305	0
Ochiltree	20200305	0
Oldham	20200305	0
Orange	20200305	0
Palo Pinto	20200305	0
Panola	20200305	0
Parker	20200305	0
Parmer	20200305	0
Pecos	20200305	0
Polk	20200305	0
Potter	20200305	0
Presidio	20200305	0
Rains	20200305	0
Randall	20200305	0
Reagan	20200305	0
Real	20200305	0
Red River	20200305	0
Reeves	20200305	0
Refugio	20200305	0
Roberts	20200305	0
Robertson	20200305	0
Rockwall	20200305	0
Runnels	20200305	0
Rusk	20200305	0
Sabine	20200305	0
San Augustine	20200305	0
San Jacinto	20200305	0
San Patricio	20200305	0
San Saba	20200305	0
Schleicher	20200305	0
Scurry	20200305	0
Shackelford	20200305	0
Shelby	20200305	0
Sherman	20200305	0
Smith	20200305	0
Somervell	20200305	0
Starr	20200305	0
Stephens	20200305	0
Sterling	20200305	0
Stonewall	20200305	0
Sutton	20200305	0
Swisher	20200305	0
Tarrant	20200305	0
Taylor	20200305	0
Terrell	20200305	0
Terry	20200305	0
Throckmorton	20200305	0
Titus	20200305	0
Tom Green	20200305	0
Travis	20200305	0
Trinity	20200305	0
Tyler	20200305	0
Upshur	20200305	0
Upton	20200305	0
Uvalde	20200305	0
Val Verde	20200305	0
Van Zandt	20200305	0
Victoria	20200305	0
Walker	20200305	0
Waller	20200305	0
Ward	20200305	0
Washington	20200305	0
Webb	20200305	0
Wharton	20200305	0
Wheeler	20200305	0
Wichita	20200305	0
Wilbarger	20200305	0
Willacy	20200305	0
Williamson	20200305	0
Wilson	20200305	0
Winkler	20200305	0
Wise	20200305	0
Wood	20200305	0
Yoakum	20200305	0
Young	20200305	0
Zapata	20200305	0
Zavala	20200305	0
Anderson	20200306	0
Andrews	20200306	0
Angelina	20200306	0
Aransas	20200306	0
Archer	20200306	0
Armstrong	20200306	0
Atascosa	20200306	0
Austin	20200306	0
Bailey	20200306	0
Bandera	20200306	0
Bastrop	20200306	0
Baylor	20200306	0
Bee	20200306	0
Bell	20200306	0
Bexar	20200306	0
Blanco	20200306	0
Borden	20200306	0
Bosque	20200306	0
Bowie	20200306	0
Brazoria	20200306	0
Brazos	20200306	0
Brewster	20200306	0
Briscoe	20200306	0
Brooks	20200306	0
Brown	20200306	0
Burleson	20200306	0
Burnet	20200306	0
Caldwell	20200306	0
Calhoun	20200306	0
Callahan	20200306	0
Cameron	20200306	0
Camp	20200306	0
Carson	20200306	0
Cass	20200306	0
Castro	20200306	0
Chambers	20200306	0
Cherokee	20200306	0
Childress	20200306	0
Clay	20200306	0
Cochran	20200306	0
Coke	20200306	0
Coleman	20200306	0
Collin	20200306	0
Collingsworth	20200306	0
Colorado	20200306	0
Comal	20200306	0
Comanche	20200306	0
Concho	20200306	0
Cooke	20200306	0
Coryell	20200306	0
Cottle	20200306	0
Crane	20200306	0
Crockett	20200306	0
Crosby	20200306	0
Culberson	20200306	0
Dallam	20200306	0
Dallas	20200306	0
Dawson	20200306	0
Deaf Smith	20200306	0
Delta	20200306	0
Denton	20200306	0
DeWitt	20200306	0
Dickens	20200306	0
Dimmit	20200306	0
Donley	20200306	0
Duval	20200306	0
Eastland	20200306	0
Ector	20200306	0
